Building Name,Address,15 minutes Walking distance Healthcare,Non-Walking distance Healthcare,Latitude,Longitude
Las Palomas,"2201 1st St C, Los Angeles, CA 90033",3,502,34.04511861027196,-118.21205900419744
Waitlist open,"1074 S. Rowan Ave, Los Angeles, CA 90023",0,505,34.02075272193835,-118.18713276186809
Gower,"1140 N Gower St, Los Angeles, CA 90038",2,503,34.0922715419305,-118.32188658823306
California Hotel,"1136 S Pacific Ave, San Pedro, CA 90731",1,504,33.73367309729829,-118.28776697116416
Fox Normandie,"Los Angeles, CA 90005",3,502,34.05649107478305,-118.29997609999724
Figueroa,"9128-9144 S Figueroa St, Los Angeles, CA 90003",0,505,33.95356686210498,-118.2824692753662
Las Flores,"1074 S. Rowan Ave, Los Angeles, CA 90023",0,505,34.020708259859866,-118.18706838823594
Cornerstone,"16650 Sherman Way, Van Nuys, CA 91406",0,505,34.20117156033278,-118.49584983302591
Firestone Phoenix,"7321 Miramonte Blvd., Los Angeles, CA 90001",0,505,33.973447421121435,-118.24583845940228
Osborne,12232 Osborne Place,0,505,34.26056918515166,-118.39934973240425
La Primavera,"1330 S Olive Street, Los Angeles, CA 90015",5,500,34.03732918729653,-118.26343093241344
Vendome,975 N Vendome St,4,501,34.08434190339931,-118.27482464775424
